"cid","site","burnt","N","juv","mat","scale","heterogen"
321,"Cold",1,0,0,0,"Scale_1",35.5918998718262
321,"Cold",1,0,0,0,"Scale_2",73.6432418823242
321,"Cold",1,0,0,0,"Scale_3",52.3477668762207
321,"Cold",1,0,0,0,"Scale_4",86.1757278442383
321,"Cold",1,0,0,0,"Scale_5",108.465858459473
321,"Cold",1,0,0,0,"Scale_6",85.9517364501953
321,"Cold",1,0,0,0,"Scale_7",38.8005485534668
321,"Cold",1,0,0,0,"Scale_8",12.4379453659058
321,"Cold",1,0,0,0,"Scale_9",4.14687013626099
167,"Cold",0,33,27,6,"Scale_1",213.452545166016
167,"Cold",0,33,27,6,"Scale_2",337.2265625
167,"Cold",0,33,27,6,"Scale_3",711.599182128906
167,"Cold",0,33,27,6,"Scale_4",978.519592285156
167,"Cold",0,33,27,6,"Scale_5",727.02001953125
167,"Cold",0,33,27,6,"Scale_6",312.482940673828
167,"Cold",0,33,27,6,"Scale_7",111.535873413086
167,"Cold",0,33,27,6,"Scale_8",31.0886363983154
167,"Cold",0,33,27,6,"Scale_9",9.01701259613037
411,"Cold",1,0,0,0,"Scale_1",103.572395324707
411,"Cold",1,0,0,0,"Scale_2",52.3086967468262
411,"Cold",1,0,0,0,"Scale_3",156.91764831543
411,"Cold",1,0,0,0,"Scale_4",125.54182434082
411,"Cold",1,0,0,0,"Scale_5",128.640548706055
411,"Cold",1,0,0,0,"Scale_6",97.3561935424805
411,"Cold",1,0,0,0,"Scale_7",43.9766960144043
411,"Cold",1,0,0,0,"Scale_8",13.6335496902466
411,"Cold",1,0,0,0,"Scale_9",4.38250637054443
261,"Cold",1,0,0,0,"Scale_1",24.7709274291992
261,"Cold",1,0,0,0,"Scale_2",64.0491333007812
261,"Cold",1,0,0,0,"Scale_3",133.507385253906
261,"Cold",1,0,0,0,"Scale_4",209.528900146484
261,"Cold",1,0,0,0,"Scale_5",243.869873046875
261,"Cold",1,0,0,0,"Scale_6",163.623504638672
261,"Cold",1,0,0,0,"Scale_7",72.5086364746094
261,"Cold",1,0,0,0,"Scale_8",22.2080497741699
261,"Cold",1,0,0,0,"Scale_9",6.92729568481445
429,"Cold",1,57,55,2,"Scale_1",49.1904563903809
429,"Cold",1,57,55,2,"Scale_2",247.753631591797
429,"Cold",1,57,55,2,"Scale_3",588.830688476562
429,"Cold",1,57,55,2,"Scale_4",1550.74096679688
429,"Cold",1,57,55,2,"Scale_5",1093.28955078125
429,"Cold",1,57,55,2,"Scale_6",511.716461181641
429,"Cold",1,57,55,2,"Scale_7",156.110244750977
429,"Cold",1,57,55,2,"Scale_8",46.0558471679688
429,"Cold",1,57,55,2,"Scale_9",13.2803115844727
74,"Cold",0,10,9,1,"Scale_1",151.213073730469
74,"Cold",0,10,9,1,"Scale_2",436.96923828125
74,"Cold",0,10,9,1,"Scale_3",765.552185058594
74,"Cold",0,10,9,1,"Scale_4",819.695007324219
74,"Cold",0,10,9,1,"Scale_5",744.753601074219
74,"Cold",0,10,9,1,"Scale_6",398.799621582031
74,"Cold",0,10,9,1,"Scale_7",144.801010131836
74,"Cold",0,10,9,1,"Scale_8",44.5365600585938
74,"Cold",0,10,9,1,"Scale_9",14.1142425537109
399,"Cold",0,50,40,10,"Scale_1",71.9032745361328
399,"Cold",0,50,40,10,"Scale_2",557.717712402344
399,"Cold",0,50,40,10,"Scale_3",1492.80029296875
399,"Cold",0,50,40,10,"Scale_4",2124.99682617188
399,"Cold",0,50,40,10,"Scale_5",1286.68493652344
399,"Cold",0,50,40,10,"Scale_6",574.323608398438
399,"Cold",0,50,40,10,"Scale_7",200.103118896484
399,"Cold",0,50,40,10,"Scale_8",58.8489952087402
399,"Cold",0,50,40,10,"Scale_9",17.2555198669434
532,"Cold",0,52,48,4,"Scale_1",85.3778305053711
532,"Cold",0,52,48,4,"Scale_2",245.720504760742
532,"Cold",0,52,48,4,"Scale_3",1477.76171875
532,"Cold",0,52,48,4,"Scale_4",1838.81298828125
532,"Cold",0,52,48,4,"Scale_5",1281.57482910156
532,"Cold",0,52,48,4,"Scale_6",614.892150878906
532,"Cold",0,52,48,4,"Scale_7",192.772369384766
532,"Cold",0,52,48,4,"Scale_8",55.5614395141602
532,"Cold",0,52,48,4,"Scale_9",15.8964805603027
200,"Cold",0,36,36,0,"Scale_1",445.956451416016
200,"Cold",0,36,36,0,"Scale_2",573.390747070312
200,"Cold",0,36,36,0,"Scale_3",1007.45538330078
200,"Cold",0,36,36,0,"Scale_4",1936.31384277344
200,"Cold",0,36,36,0,"Scale_5",1567.79150390625
200,"Cold",0,36,36,0,"Scale_6",809.050964355469
200,"Cold",0,36,36,0,"Scale_7",257.553558349609
200,"Cold",0,36,36,0,"Scale_8",84.5311126708984
200,"Cold",0,36,36,0,"Scale_9",26.9151763916016
498,"Cold",1,0,0,0,"Scale_1",49.1529121398926
498,"Cold",1,0,0,0,"Scale_2",81.221923828125
498,"Cold",1,0,0,0,"Scale_3",73.7979965209961
498,"Cold",1,0,0,0,"Scale_4",163.206283569336
498,"Cold",1,0,0,0,"Scale_5",215.374862670898
498,"Cold",1,0,0,0,"Scale_6",177.124862670898
498,"Cold",1,0,0,0,"Scale_7",78.3178482055664
498,"Cold",1,0,0,0,"Scale_8",23.7758235931396
498,"Cold",1,0,0,0,"Scale_9",7.22109985351562
584,"Cold",1,1,0,1,"Scale_1",42.68310546875
584,"Cold",1,1,0,1,"Scale_2",20.6444320678711
584,"Cold",1,1,0,1,"Scale_3",44.7658729553223
584,"Cold",1,1,0,1,"Scale_4",83.3769302368164
584,"Cold",1,1,0,1,"Scale_5",83.5427474975586
584,"Cold",1,1,0,1,"Scale_6",68.0802612304688
584,"Cold",1,1,0,1,"Scale_7",26.2918739318848
584,"Cold",1,1,0,1,"Scale_8",8.1475715637207
584,"Cold",1,1,0,1,"Scale_9",2.48488283157349
539,"Cold",1,0,0,0,"Scale_1",82.2205429077148
539,"Cold",1,0,0,0,"Scale_2",125.585472106934
539,"Cold",1,0,0,0,"Scale_3",154.63298034668
539,"Cold",1,0,0,0,"Scale_4",188.225814819336
539,"Cold",1,0,0,0,"Scale_5",218.594482421875
539,"Cold",1,0,0,0,"Scale_6",149.832611083984
539,"Cold",1,0,0,0,"Scale_7",60.6510543823242
539,"Cold",1,0,0,0,"Scale_8",18.9999523162842
539,"Cold",1,0,0,0,"Scale_9",5.94202899932861
164,"Cold",0,57,51,6,"Scale_1",192.458923339844
164,"Cold",0,57,51,6,"Scale_2",372.350677490234
164,"Cold",0,57,51,6,"Scale_3",995.097839355469
164,"Cold",0,57,51,6,"Scale_4",1376.44348144531
164,"Cold",0,57,51,6,"Scale_5",1180.63610839844
164,"Cold",0,57,51,6,"Scale_6",521.342956542969
164,"Cold",0,57,51,6,"Scale_7",195.369766235352
164,"Cold",0,57,51,6,"Scale_8",57.0841217041016
164,"Cold",0,57,51,6,"Scale_9",16.9306697845459
396,"Cold",1,0,0,0,"Scale_1",15.1312265396118
396,"Cold",1,0,0,0,"Scale_2",90.2363510131836
396,"Cold",1,0,0,0,"Scale_3",83.9866409301758
396,"Cold",1,0,0,0,"Scale_4",207.151229858398
396,"Cold",1,0,0,0,"Scale_5",249.618392944336
396,"Cold",1,0,0,0,"Scale_6",171.093902587891
396,"Cold",1,0,0,0,"Scale_7",74.0242233276367
396,"Cold",1,0,0,0,"Scale_8",23.7787685394287
396,"Cold",1,0,0,0,"Scale_9",7.7665753364563
84,"Cold",0,39,37,2,"Scale_1",170.331390380859
84,"Cold",0,39,37,2,"Scale_2",716.477966308594
84,"Cold",0,39,37,2,"Scale_3",2750.93139648438
84,"Cold",0,39,37,2,"Scale_4",2408.83056640625
84,"Cold",0,39,37,2,"Scale_5",1933.04724121094
84,"Cold",0,39,37,2,"Scale_6",891.389892578125
84,"Cold",0,39,37,2,"Scale_7",333.708221435547
84,"Cold",0,39,37,2,"Scale_8",107.240425109863
84,"Cold",0,39,37,2,"Scale_9",39.3069229125977
81,"Cold",0,28,28,0,"Scale_1",223.071807861328
81,"Cold",0,28,28,0,"Scale_2",1058.68334960938
81,"Cold",0,28,28,0,"Scale_3",1690.53784179688
81,"Cold",0,28,28,0,"Scale_4",2881.8330078125
81,"Cold",0,28,28,0,"Scale_5",2697.291015625
81,"Cold",0,28,28,0,"Scale_6",1239.10314941406
81,"Cold",0,28,28,0,"Scale_7",432.874664306641
81,"Cold",0,28,28,0,"Scale_8",151.911712646484
81,"Cold",0,28,28,0,"Scale_9",56.8371772766113
325,"Cold",1,0,0,0,"Scale_1",28.0164470672607
325,"Cold",1,0,0,0,"Scale_2",35.3082466125488
325,"Cold",1,0,0,0,"Scale_3",45.3177299499512
325,"Cold",1,0,0,0,"Scale_4",116.828056335449
325,"Cold",1,0,0,0,"Scale_5",142.674774169922
325,"Cold",1,0,0,0,"Scale_6",117.935119628906
325,"Cold",1,0,0,0,"Scale_7",53.3417587280273
325,"Cold",1,0,0,0,"Scale_8",17.694019317627
325,"Cold",1,0,0,0,"Scale_9",5.4687762260437
126,"Cold",0,60,54,6,"Scale_1",230.733322143555
126,"Cold",0,60,54,6,"Scale_2",866.994262695312
126,"Cold",0,60,54,6,"Scale_3",2525.92700195312
126,"Cold",0,60,54,6,"Scale_4",4534.83154296875
126,"Cold",0,60,54,6,"Scale_5",2548.88012695312
126,"Cold",0,60,54,6,"Scale_6",1197.92407226562
126,"Cold",0,60,54,6,"Scale_7",435.340881347656
126,"Cold",0,60,54,6,"Scale_8",135.007446289062
126,"Cold",0,60,54,6,"Scale_9",47.3555335998535
523,"Cold",1,3,3,0,"Scale_1",16.434944152832
523,"Cold",1,3,3,0,"Scale_2",122.300483703613
523,"Cold",1,3,3,0,"Scale_3",568.877563476562
523,"Cold",1,3,3,0,"Scale_4",982.384033203125
523,"Cold",1,3,3,0,"Scale_5",426.801391601562
523,"Cold",1,3,3,0,"Scale_6",209.622360229492
523,"Cold",1,3,3,0,"Scale_7",76.3608322143555
523,"Cold",1,3,3,0,"Scale_8",21.9804534912109
523,"Cold",1,3,3,0,"Scale_9",6.30893087387085
330,"Cold",1,0,0,0,"Scale_1",11.0698013305664
330,"Cold",1,0,0,0,"Scale_2",11.2468538284302
330,"Cold",1,0,0,0,"Scale_3",77.4475708007812
330,"Cold",1,0,0,0,"Scale_4",105.345367431641
330,"Cold",1,0,0,0,"Scale_5",142.567428588867
330,"Cold",1,0,0,0,"Scale_6",110.546112060547
330,"Cold",1,0,0,0,"Scale_7",50.144603729248
330,"Cold",1,0,0,0,"Scale_8",16.0536708831787
330,"Cold",1,0,0,0,"Scale_9",5.07662487030029
529,"Cold",0,0,0,0,"Scale_1",79.7419738769531
529,"Cold",0,0,0,0,"Scale_2",144.557342529297
529,"Cold",0,0,0,0,"Scale_3",917.314575195312
529,"Cold",0,0,0,0,"Scale_4",2002.80090332031
529,"Cold",0,0,0,0,"Scale_5",1270.04296875
529,"Cold",0,0,0,0,"Scale_6",621.36279296875
529,"Cold",0,0,0,0,"Scale_7",197.872100830078
529,"Cold",0,0,0,0,"Scale_8",57.2305030822754
529,"Cold",0,0,0,0,"Scale_9",16.5739498138428
592,"Cold",1,0,0,0,"Scale_1",12.0069732666016
592,"Cold",1,0,0,0,"Scale_2",54.4588775634766
592,"Cold",1,0,0,0,"Scale_3",88.9691925048828
592,"Cold",1,0,0,0,"Scale_4",78.6979064941406
592,"Cold",1,0,0,0,"Scale_5",71.4320983886719
592,"Cold",1,0,0,0,"Scale_6",63.6191291809082
592,"Cold",1,0,0,0,"Scale_7",23.782169342041
592,"Cold",1,0,0,0,"Scale_8",7.3257851600647
592,"Cold",1,0,0,0,"Scale_9",2.26655554771423
435,"Cold",1,0,0,0,"Scale_1",103.327751159668
435,"Cold",1,0,0,0,"Scale_2",40.891902923584
435,"Cold",1,0,0,0,"Scale_3",104.818260192871
435,"Cold",1,0,0,0,"Scale_4",135.459121704102
435,"Cold",1,0,0,0,"Scale_5",185.320022583008
435,"Cold",1,0,0,0,"Scale_6",118.358428955078
435,"Cold",1,0,0,0,"Scale_7",50.7903060913086
435,"Cold",1,0,0,0,"Scale_8",15.9188499450684
435,"Cold",1,0,0,0,"Scale_9",4.94062948226929
581,"Cold",1,57,47,10,"Scale_1",422.648071289062
581,"Cold",1,57,47,10,"Scale_2",127.083335876465
581,"Cold",1,57,47,10,"Scale_3",1517.5537109375
581,"Cold",1,57,47,10,"Scale_4",1793.89477539062
581,"Cold",1,57,47,10,"Scale_5",1067.39562988281
581,"Cold",1,57,47,10,"Scale_6",511.972320556641
581,"Cold",1,57,47,10,"Scale_7",165.999771118164
581,"Cold",1,57,47,10,"Scale_8",46.0195579528809
581,"Cold",1,57,47,10,"Scale_9",12.9715070724487
44,"Cold",1,5,4,1,"Scale_1",67.441780090332
44,"Cold",1,5,4,1,"Scale_2",140.800964355469
44,"Cold",1,5,4,1,"Scale_3",246.056640625
44,"Cold",1,5,4,1,"Scale_4",382.362670898438
44,"Cold",1,5,4,1,"Scale_5",264.482940673828
44,"Cold",1,5,4,1,"Scale_6",135.934616088867
44,"Cold",1,5,4,1,"Scale_7",48.0312690734863
44,"Cold",1,5,4,1,"Scale_8",14.1535139083862
44,"Cold",1,5,4,1,"Scale_9",4.20522403717041
297,"Cold",1,2,2,0,"Scale_1",137.762283325195
297,"Cold",1,2,2,0,"Scale_2",272.434356689453
297,"Cold",1,2,2,0,"Scale_3",409.897888183594
297,"Cold",1,2,2,0,"Scale_4",679.529602050781
297,"Cold",1,2,2,0,"Scale_5",579.972961425781
297,"Cold",1,2,2,0,"Scale_6",327.380035400391
297,"Cold",1,2,2,0,"Scale_7",119.861839294434
297,"Cold",1,2,2,0,"Scale_8",36.7084732055664
297,"Cold",1,2,2,0,"Scale_9",11.5162343978882
512,"Cold",0,52,51,1,"Scale_1",14.5297889709473
512,"Cold",0,52,51,1,"Scale_2",337.239532470703
512,"Cold",0,52,51,1,"Scale_3",818.303405761719
512,"Cold",0,52,51,1,"Scale_4",1720.29016113281
512,"Cold",0,52,51,1,"Scale_5",1203.71325683594
512,"Cold",0,52,51,1,"Scale_6",593.821166992188
512,"Cold",0,52,51,1,"Scale_7",200.68864440918
512,"Cold",0,52,51,1,"Scale_8",57.5531349182129
512,"Cold",0,52,51,1,"Scale_9",17.0738563537598
565,"Cold",1,1,0,1,"Scale_1",43.4503326416016
565,"Cold",1,1,0,1,"Scale_2",17.9151210784912
565,"Cold",1,1,0,1,"Scale_3",50.1242027282715
565,"Cold",1,1,0,1,"Scale_4",99.1441497802734
565,"Cold",1,1,0,1,"Scale_5",145.375350952148
565,"Cold",1,1,0,1,"Scale_6",104.304382324219
565,"Cold",1,1,0,1,"Scale_7",38.5386009216309
565,"Cold",1,1,0,1,"Scale_8",11.8934345245361
565,"Cold",1,1,0,1,"Scale_9",3.61323976516724
182,"Cold",0,37,37,0,"Scale_1",107.211906433105
182,"Cold",0,37,37,0,"Scale_2",598.556701660156
182,"Cold",0,37,37,0,"Scale_3",2051.169921875
182,"Cold",0,37,37,0,"Scale_4",2388.03442382812
182,"Cold",0,37,37,0,"Scale_5",1899.09240722656
182,"Cold",0,37,37,0,"Scale_6",790.496398925781
182,"Cold",0,37,37,0,"Scale_7",278.961791992188
182,"Cold",0,37,37,0,"Scale_8",86.0106430053711
182,"Cold",0,37,37,0,"Scale_9",27.118314743042
192,"Cold",1,11,8,3,"Scale_1",125.019805908203
192,"Cold",1,11,8,3,"Scale_2",146.369293212891
192,"Cold",1,11,8,3,"Scale_3",574.451171875
192,"Cold",1,11,8,3,"Scale_4",902.912048339844
192,"Cold",1,11,8,3,"Scale_5",633.895263671875
192,"Cold",1,11,8,3,"Scale_6",337.567260742188
192,"Cold",1,11,8,3,"Scale_7",128.085037231445
192,"Cold",1,11,8,3,"Scale_8",38.4833793640137
192,"Cold",1,11,8,3,"Scale_9",11.5059576034546
269,"Cold",0,38,35,3,"Scale_1",137.25927734375
269,"Cold",0,38,35,3,"Scale_2",408.004608154297
269,"Cold",0,38,35,3,"Scale_3",1179.29321289062
269,"Cold",0,38,35,3,"Scale_4",2174.64892578125
