"cid","site","burnt","N","juv","mat","scale","heterogen"
3,"CorralsTrail",0,5,5,0,"Scale_1",2095.7001953125
3,"CorralsTrail",0,5,5,0,"Scale_2",2817.99340820312
3,"CorralsTrail",0,5,5,0,"Scale_3",15885.27734375
3,"CorralsTrail",0,5,5,0,"Scale_4",6230.79931640625
3,"CorralsTrail",0,5,5,0,"Scale_5",3956.8134765625
3,"CorralsTrail",0,5,5,0,"Scale_6",1689.74951171875
3,"CorralsTrail",0,5,5,0,"Scale_7",566.946350097656
3,"CorralsTrail",0,5,5,0,"Scale_8",271.387817382812
3,"CorralsTrail",0,5,5,0,"Scale_9",157.69123840332
7,"CorralsTrail",1,0,0,0,"Scale_1",319.830139160156
7,"CorralsTrail",1,0,0,0,"Scale_2",460.819641113281
7,"CorralsTrail",1,0,0,0,"Scale_3",952.089416503906
7,"CorralsTrail",1,0,0,0,"Scale_4",314.376403808594
7,"CorralsTrail",1,0,0,0,"Scale_5",54.7984085083008
7,"CorralsTrail",1,0,0,0,"Scale_6",57.575080871582
7,"CorralsTrail",1,0,0,0,"Scale_7",25.5798683166504
7,"CorralsTrail",1,0,0,0,"Scale_8",11.9692916870117
7,"CorralsTrail",1,0,0,0,"Scale_9",5.350266456604
12,"CorralsTrail",0,10,10,0,"Scale_1",2613.52758789062
12,"CorralsTrail",0,10,10,0,"Scale_2",10050.8857421875
12,"CorralsTrail",0,10,10,0,"Scale_3",9585.0400390625
12,"CorralsTrail",0,10,10,0,"Scale_4",4210.31298828125
12,"CorralsTrail",0,10,10,0,"Scale_5",2670.88818359375
12,"CorralsTrail",0,10,10,0,"Scale_6",762.150390625
12,"CorralsTrail",0,10,10,0,"Scale_7",369.367797851562
12,"CorralsTrail",0,10,10,0,"Scale_8",105.942153930664
12,"CorralsTrail",0,10,10,0,"Scale_9",53.9588737487793
16,"CorralsTrail",0,21,20,1,"Scale_1",463.674438476562
16,"CorralsTrail",0,21,20,1,"Scale_2",3337.43041992188
16,"CorralsTrail",0,21,20,1,"Scale_3",5192.505859375
16,"CorralsTrail",0,21,20,1,"Scale_4",2497.95556640625
16,"CorralsTrail",0,21,20,1,"Scale_5",1750.11767578125
16,"CorralsTrail",0,21,20,1,"Scale_6",631.701049804688
16,"CorralsTrail",0,21,20,1,"Scale_7",209.355194091797
16,"CorralsTrail",0,21,20,1,"Scale_8",64.7240982055664
16,"CorralsTrail",0,21,20,1,"Scale_9",24.0491981506348
19,"CorralsTrail",1,0,0,0,"Scale_1",3.52577900886536
19,"CorralsTrail",1,0,0,0,"Scale_2",9.55607891082764
19,"CorralsTrail",1,0,0,0,"Scale_3",17.0731678009033
19,"CorralsTrail",1,0,0,0,"Scale_4",26.2543544769287
19,"CorralsTrail",1,0,0,0,"Scale_5",27.6106548309326
19,"CorralsTrail",1,0,0,0,"Scale_6",17.0971050262451
19,"CorralsTrail",1,0,0,0,"Scale_7",8.30643463134766
19,"CorralsTrail",1,0,0,0,"Scale_8",4.49474143981934
19,"CorralsTrail",1,0,0,0,"Scale_9",2.71298575401306
21,"CorralsTrail",0,0,0,0,"Scale_1",481.212524414062
21,"CorralsTrail",0,0,0,0,"Scale_2",1621.88635253906
21,"CorralsTrail",0,0,0,0,"Scale_3",2446.59301757812
21,"CorralsTrail",0,0,0,0,"Scale_4",2308.29858398438
21,"CorralsTrail",0,0,0,0,"Scale_5",1266.59326171875
21,"CorralsTrail",0,0,0,0,"Scale_6",523.193176269531
21,"CorralsTrail",0,0,0,0,"Scale_7",185.325912475586
21,"CorralsTrail",0,0,0,0,"Scale_8",67.2949523925781
21,"CorralsTrail",0,0,0,0,"Scale_9",24.2586669921875
25,"CorralsTrail",0,6,6,0,"Scale_1",420.5244140625
25,"CorralsTrail",0,6,6,0,"Scale_2",1519.349609375
25,"CorralsTrail",0,6,6,0,"Scale_3",4780.904296875
25,"CorralsTrail",0,6,6,0,"Scale_4",2202.369140625
25,"CorralsTrail",0,6,6,0,"Scale_5",1456.09289550781
25,"CorralsTrail",0,6,6,0,"Scale_6",679.670043945312
25,"CorralsTrail",0,6,6,0,"Scale_7",217.753707885742
25,"CorralsTrail",0,6,6,0,"Scale_8",76.0809478759766
25,"CorralsTrail",0,6,6,0,"Scale_9",39.344783782959
27,"CorralsTrail",1,15,14,1,"Scale_1",1900.23767089844
27,"CorralsTrail",1,15,14,1,"Scale_2",5109.35546875
27,"CorralsTrail",1,15,14,1,"Scale_3",7505.44384765625
27,"CorralsTrail",1,15,14,1,"Scale_4",4153.26513671875
27,"CorralsTrail",1,15,14,1,"Scale_5",2870.103515625
27,"CorralsTrail",1,15,14,1,"Scale_6",1119.00500488281
27,"CorralsTrail",1,15,14,1,"Scale_7",454.6005859375
27,"CorralsTrail",1,15,14,1,"Scale_8",202.920166015625
27,"CorralsTrail",1,15,14,1,"Scale_9",81.9254455566406
32,"CorralsTrail",0,9,9,0,"Scale_1",25.5260524749756
32,"CorralsTrail",0,9,9,0,"Scale_2",588.157958984375
32,"CorralsTrail",0,9,9,0,"Scale_3",799.447814941406
32,"CorralsTrail",0,9,9,0,"Scale_4",1189.72802734375
32,"CorralsTrail",0,9,9,0,"Scale_5",748.651428222656
