"site","cid","burnt","N","juv","mat","scale","heterogen"
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_1",6.12345504760742
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_2",23.9186859130859
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_3",159.098266601562
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_4",281.060913085938
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_5",218.354537963867
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_6",117.512214660645
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_7",46.0575637817383
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_8",14.303279876709
"DuncanSaddle",1001,1,NA,NA,NA,"Scale_9",4.17410469055176
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_1",5.15814065933228
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_2",7.44758462905884
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_3",20.5219688415527
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_4",31.0860958099365
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_5",25.2937908172607
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_6",15.0015277862549
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_7",6.69261360168457
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_8",2.37215542793274
"DuncanSaddle",1435,1,NA,NA,NA,"Scale_9",0.762207210063934
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_1",3.55196571350098
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_2",21.2419719696045
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_3",41.9890480041504
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_4",85.1548843383789
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_5",60.3686256408691
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_6",30.1526927947998
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_7",11.9982461929321
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_8",3.89341449737549
"DuncanSaddle",2776,1,NA,NA,NA,"Scale_9",1.17738831043243
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_1",7.26609373092651
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_2",14.3078079223633
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_3",15.9871368408203
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_4",21.9236354827881
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_5",20.716625213623
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_6",10.9440565109253
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_7",4.95929002761841
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_8",1.7071784734726
"DuncanSaddle",1423,1,NA,NA,NA,"Scale_9",0.519754350185394
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_1",46.2150764465332
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_2",28.9210300445557
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_3",119.868606567383
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_4",119.716125488281
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_5",100.869606018066
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_6",43.821117401123
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_7",18.6922092437744
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_8",5.96559619903564
"DuncanSaddle",2248,1,NA,NA,NA,"Scale_9",1.84922075271606
"DuncanSaddle",742,1,NA,NA,NA,"Scale_1",27.6629867553711
"DuncanSaddle",742,1,NA,NA,NA,"Scale_2",161.256866455078
"DuncanSaddle",742,1,NA,NA,NA,"Scale_3",342.630523681641
"DuncanSaddle",742,1,NA,NA,NA,"Scale_4",527.347045898438
"DuncanSaddle",742,1,NA,NA,NA,"Scale_5",413.823272705078
"DuncanSaddle",742,1,NA,NA,NA,"Scale_6",206.633071899414
"DuncanSaddle",742,1,NA,NA,NA,"Scale_7",81.265510559082
"DuncanSaddle",742,1,NA,NA,NA,"Scale_8",24.7082710266113
"DuncanSaddle",742,1,NA,NA,NA,"Scale_9",7.4969630241394
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_1",83.7719345092773
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_2",33.7932014465332
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_3",52.9692535400391
"DuncanSaddle",2018,1,NA,NA,NA,"Scale_4",99.6781158447266
