"cid","site","burnt","N","juv","mat","scale","heterogen"
468,"InitialPointBurn",1,0,0,0,"Scale_1",25.8638172149658
468,"InitialPointBurn",1,0,0,0,"Scale_2",16.757682800293
468,"InitialPointBurn",1,0,0,0,"Scale_3",81.4038391113281
468,"InitialPointBurn",1,0,0,0,"Scale_4",70.0429840087891
468,"InitialPointBurn",1,0,0,0,"Scale_5",38.0985717773438
468,"InitialPointBurn",1,0,0,0,"Scale_6",24.9799327850342
468,"InitialPointBurn",1,0,0,0,"Scale_7",9.79988288879395
468,"InitialPointBurn",1,0,0,0,"Scale_8",3.14975666999817
468,"InitialPointBurn",1,0,0,0,"Scale_9",1.1103847026825
418,"InitialPointBurn",1,0,0,0,"Scale_1",4.97619390487671
418,"InitialPointBurn",1,0,0,0,"Scale_2",25.2604732513428
418,"InitialPointBurn",1,0,0,0,"Scale_3",29.7963104248047
418,"InitialPointBurn",1,0,0,0,"Scale_4",69.8108367919922
418,"InitialPointBurn",1,0,0,0,"Scale_5",56.398796081543
418,"InitialPointBurn",1,0,0,0,"Scale_6",38.4495048522949
418,"InitialPointBurn",1,0,0,0,"Scale_7",15.0263872146606
418,"InitialPointBurn",1,0,0,0,"Scale_8",4.50203847885132
418,"InitialPointBurn",1,0,0,0,"Scale_9",1.36374616622925
370,"InitialPointBurn",0,48,27,21,"Scale_1",4351.283203125
370,"InitialPointBurn",0,48,27,21,"Scale_2",14059.23046875
370,"InitialPointBurn",0,48,27,21,"Scale_3",15671.43359375
370,"InitialPointBurn",0,48,27,21,"Scale_4",15077.578125
370,"InitialPointBurn",0,48,27,21,"Scale_5",8403.44921875
370,"InitialPointBurn",0,48,27,21,"Scale_6",3811.0908203125
370,"InitialPointBurn",0,48,27,21,"Scale_7",1516.63806152344
370,"InitialPointBurn",0,48,27,21,"Scale_8",633.858154296875
370,"InitialPointBurn",0,48,27,21,"Scale_9",322.215545654297
337,"InitialPointBurn",0,115,19,96,"Scale_1",1519.80603027344
337,"InitialPointBurn",0,115,19,96,"Scale_2",4746.28271484375
337,"InitialPointBurn",0,115,19,96,"Scale_3",9401.982421875
337,"InitialPointBurn",0,115,19,96,"Scale_4",7016.50634765625
337,"InitialPointBurn",0,115,19,96,"Scale_5",3718.03393554688
337,"InitialPointBurn",0,115,19,96,"Scale_6",1798.22387695312
337,"InitialPointBurn",0,115,19,96,"Scale_7",733.311828613281
337,"InitialPointBurn",0,115,19,96,"Scale_8",288.356353759766
337,"InitialPointBurn",0,115,19,96,"Scale_9",133.240295410156
209,"InitialPointBurn",1,0,0,0,"Scale_1",7.01645517349243
209,"InitialPointBurn",1,0,0,0,"Scale_2",15.3700008392334
209,"InitialPointBurn",1,0,0,0,"Scale_3",51.2457733154297
209,"InitialPointBurn",1,0,0,0,"Scale_4",118.394088745117
209,"InitialPointBurn",1,0,0,0,"Scale_5",108.086700439453
209,"InitialPointBurn",1,0,0,0,"Scale_6",76.0145645141602
209,"InitialPointBurn",1,0,0,0,"Scale_7",28.9409255981445
209,"InitialPointBurn",1,0,0,0,"Scale_8",8.60463619232178
209,"InitialPointBurn",1,0,0,0,"Scale_9",2.50180959701538
230,"InitialPointBurn",0,49,29,20,"Scale_1",1693.130859375
230,"InitialPointBurn",0,49,29,20,"Scale_2",7907.80908203125
230,"InitialPointBurn",0,49,29,20,"Scale_3",10793.169921875
230,"InitialPointBurn",0,49,29,20,"Scale_4",8364.421875
230,"InitialPointBurn",0,49,29,20,"Scale_5",5002.3779296875
230,"InitialPointBurn",0,49,29,20,"Scale_6",2245.05053710938
230,"InitialPointBurn",0,49,29,20,"Scale_7",832.153991699219
230,"InitialPointBurn",0,49,29,20,"Scale_8",356.827728271484
230,"InitialPointBurn",0,49,29,20,"Scale_9",156.528213500977
33,"InitialPointBurn",1,118,21,97,"Scale_1",7768.1103515625
33,"InitialPointBurn",1,118,21,97,"Scale_2",7358.32421875
33,"InitialPointBurn",1,118,21,97,"Scale_3",15813.171875
33,"InitialPointBurn",1,118,21,97,"Scale_4",8529.09375
33,"InitialPointBurn",1,118,21,97,"Scale_5",5668.97607421875
33,"InitialPointBurn",1,118,21,97,"Scale_6",2246.6123046875
33,"InitialPointBurn",1,118,21,97,"Scale_7",867.602661132812
33,"InitialPointBurn",1,118,21,97,"Scale_8",346.795196533203
33,"InitialPointBurn",1,118,21,97,"Scale_9",161.817413330078
478,"InitialPointBurn",0,48,46,2,"Scale_1",959.263854980469
478,"InitialPointBurn",0,48,46,2,"Scale_2",3091.166015625
478,"InitialPointBurn",0,48,46,2,"Scale_3",8026.45556640625
478,"InitialPointBurn",0,48,46,2,"Scale_4",12216.4169921875
478,"InitialPointBurn",0,48,46,2,"Scale_5",8787.6728515625
478,"InitialPointBurn",0,48,46,2,"Scale_6",4058.23217773438
478,"InitialPointBurn",0,48,46,2,"Scale_7",1764.50280761719
478,"InitialPointBurn",0,48,46,2,"Scale_8",748.680908203125
478,"InitialPointBurn",0,48,46,2,"Scale_9",427.6630859375
471,"InitialPointBurn",1,0,0,0,"Scale_1",51.5422248840332
471,"InitialPointBurn",1,0,0,0,"Scale_2",104.835540771484
471,"InitialPointBurn",1,0,0,0,"Scale_3",105.028678894043
471,"InitialPointBurn",1,0,0,0,"Scale_4",198.903656005859
471,"InitialPointBurn",1,0,0,0,"Scale_5",150.027740478516
471,"InitialPointBurn",1,0,0,0,"Scale_6",83.863151550293
471,"InitialPointBurn",1,0,0,0,"Scale_7",29.5395431518555
471,"InitialPointBurn",1,0,0,0,"Scale_8",8.62263965606689
471,"InitialPointBurn",1,0,0,0,"Scale_9",2.51137733459473
216,"InitialPointBurn",1,27,22,5,"Scale_1",468.159271240234
216,"InitialPointBurn",1,27,22,5,"Scale_2",653.407897949219
216,"InitialPointBurn",1,27,22,5,"Scale_3",984.680480957031
216,"InitialPointBurn",1,27,22,5,"Scale_4",1078.40405273438
216,"InitialPointBurn",1,27,22,5,"Scale_5",986.181213378906
216,"InitialPointBurn",1,27,22,5,"Scale_6",471.062774658203
216,"InitialPointBurn",1,27,22,5,"Scale_7",157.217895507812
216,"InitialPointBurn",1,27,22,5,"Scale_8",47.3885612487793
216,"InitialPointBurn",1,27,22,5,"Scale_9",15.750337600708
