"site","cid","burnt","N","juv","mat","scale","heterogen"
"LowerDryCreek",261,1,2,1,1,"Scale_1",365.614501953125
"LowerDryCreek",261,1,2,1,1,"Scale_2",538.598999023438
"LowerDryCreek",261,1,2,1,1,"Scale_3",1305.33996582031
"LowerDryCreek",261,1,2,1,1,"Scale_4",1141.17565917969
"LowerDryCreek",261,1,2,1,1,"Scale_5",1015.75256347656
"LowerDryCreek",261,1,2,1,1,"Scale_6",483.058227539062
"LowerDryCreek",261,1,2,1,1,"Scale_7",178.453689575195
"LowerDryCreek",261,1,2,1,1,"Scale_8",59.2691917419434
"LowerDryCreek",261,1,2,1,1,"Scale_9",22.9212093353271
"LowerDryCreek",728,1,21,21,0,"Scale_1",3221.84643554688
"LowerDryCreek",728,1,21,21,0,"Scale_2",5559.16748046875
"LowerDryCreek",728,1,21,21,0,"Scale_3",6320.28759765625
"LowerDryCreek",728,1,21,21,0,"Scale_4",3272.07348632812
"LowerDryCreek",728,1,21,21,0,"Scale_5",1556.50756835938
"LowerDryCreek",728,1,21,21,0,"Scale_6",639.231201171875
"LowerDryCreek",728,1,21,21,0,"Scale_7",227.750106811523
"LowerDryCreek",728,1,21,21,0,"Scale_8",70.495979309082
"LowerDryCreek",728,1,21,21,0,"Scale_9",25.1598701477051
"LowerDryCreek",859,1,15,15,0,"Scale_1",1313.10046386719
"LowerDryCreek",859,1,15,15,0,"Scale_2",5286.15478515625
"LowerDryCreek",859,1,15,15,0,"Scale_3",4841.130859375
"LowerDryCreek",859,1,15,15,0,"Scale_4",4427.3876953125
"LowerDryCreek",859,1,15,15,0,"Scale_5",2144.88208007812
"LowerDryCreek",859,1,15,15,0,"Scale_6",868.795715332031
"LowerDryCreek",859,1,15,15,0,"Scale_7",341.852874755859
"LowerDryCreek",859,1,15,15,0,"Scale_8",120.660697937012
"LowerDryCreek",859,1,15,15,0,"Scale_9",43.9958534240723
"LowerDryCreek",532,1,15,15,0,"Scale_1",6258.06689453125
"LowerDryCreek",532,1,15,15,0,"Scale_2",7557.18603515625
"LowerDryCreek",532,1,15,15,0,"Scale_3",13368.6240234375
"LowerDryCreek",532,1,15,15,0,"Scale_4",12518.0615234375
"LowerDryCreek",532,1,15,15,0,"Scale_5",7440.81591796875
"LowerDryCreek",532,1,15,15,0,"Scale_6",2968.26611328125
"LowerDryCreek",532,1,15,15,0,"Scale_7",1124.29028320312
"LowerDryCreek",532,1,15,15,0,"Scale_8",463.277221679688
"LowerDryCreek",532,1,15,15,0,"Scale_9",207.812515258789
"LowerDryCreek",430,1,23,22,1,"Scale_1",2903.07177734375
"LowerDryCreek",430,1,23,22,1,"Scale_2",4639.91552734375
"LowerDryCreek",430,1,23,22,1,"Scale_3",7165.45703125
"LowerDryCreek",430,1,23,22,1,"Scale_4",4891.4267578125
"LowerDryCreek",430,1,23,22,1,"Scale_5",2621.14135742188
"LowerDryCreek",430,1,23,22,1,"Scale_6",1175.66467285156
"LowerDryCreek",430,1,23,22,1,"Scale_7",450.314300537109
"LowerDryCreek",430,1,23,22,1,"Scale_8",159.732131958008
"LowerDryCreek",430,1,23,22,1,"Scale_9",67.7006225585938
"LowerDryCreek",742,1,44,43,1,"Scale_1",2166.86010742188
"LowerDryCreek",742,1,44,43,1,"Scale_2",6992.310546875
"LowerDryCreek",742,1,44,43,1,"Scale_3",7482.46435546875
"LowerDryCreek",742,1,44,43,1,"Scale_4",5504.31884765625
"LowerDryCreek",742,1,44,43,1,"Scale_5",2779.72265625
"LowerDryCreek",742,1,44,43,1,"Scale_6",1157.34338378906
"LowerDryCreek",742,1,44,43,1,"Scale_7",400.66259765625
"LowerDryCreek",742,1,44,43,1,"Scale_8",133.58918762207
"LowerDryCreek",742,1,44,43,1,"Scale_9",46.2614822387695
"LowerDryCreek",498,1,1,1,0,"Scale_1",546.859985351562
"LowerDryCreek",498,1,1,1,0,"Scale_2",561.948303222656
"LowerDryCreek",498,1,1,1,0,"Scale_3",555.404541015625
"LowerDryCreek",498,1,1,1,0,"Scale_4",1046.03991699219
"LowerDryCreek",498,1,1,1,0,"Scale_5",763.603942871094
"LowerDryCreek",498,1,1,1,0,"Scale_6",396.494598388672
"LowerDryCreek",498,1,1,1,0,"Scale_7",152.783508300781
"LowerDryCreek",498,1,1,1,0,"Scale_8",48.7571411132812
"LowerDryCreek",498,1,1,1,0,"Scale_9",17.2638416290283
"LowerDryCreek",1054,1,36,34,2,"Scale_1",5876.70849609375
"LowerDryCreek",1054,1,36,34,2,"Scale_2",12118.1240234375
"LowerDryCreek",1054,1,36,34,2,"Scale_3",8856.0302734375
"LowerDryCreek",1054,1,36,34,2,"Scale_4",8667.771484375
"LowerDryCreek",1054,1,36,34,2,"Scale_5",4487.67529296875
"LowerDryCreek",1054,1,36,34,2,"Scale_6",1895.43444824219
"LowerDryCreek",1054,1,36,34,2,"Scale_7",692.094177246094
"LowerDryCreek",1054,1,36,34,2,"Scale_8",241.256149291992
"LowerDryCreek",1054,1,36,34,2,"Scale_9",90.4577789306641
"LowerDryCreek",635,1,13,12,1,"Scale_1",2094.001953125
"LowerDryCreek",635,1,13,12,1,"Scale_2",3259.11669921875
"LowerDryCreek",635,1,13,12,1,"Scale_3",6458.384765625
"LowerDryCreek",635,1,13,12,1,"Scale_4",3674.8603515625
"LowerDryCreek",635,1,13,12,1,"Scale_5",2103.630859375
"LowerDryCreek",635,1,13,12,1,"Scale_6",937.537780761719
"LowerDryCreek",635,1,13,12,1,"Scale_7",340.718505859375
"LowerDryCreek",635,1,13,12,1,"Scale_8",114.99235534668
