"cid","site","burnt","N","juv","mat","scale","heterogen"
321,"NorthHam",1,1,1,0,"Scale_1",10.9229164123535
321,"NorthHam",1,1,1,0,"Scale_2",63.1842765808105
321,"NorthHam",1,1,1,0,"Scale_3",385.279571533203
321,"NorthHam",1,1,1,0,"Scale_4",453.840881347656
321,"NorthHam",1,1,1,0,"Scale_5",333.721557617188
321,"NorthHam",1,1,1,0,"Scale_6",205.958099365234
321,"NorthHam",1,1,1,0,"Scale_7",68.0760650634766
321,"NorthHam",1,1,1,0,"Scale_8",20.5939159393311
321,"NorthHam",1,1,1,0,"Scale_9",5.85727882385254
167,"NorthHam",1,0,0,0,"Scale_1",42.9183006286621
167,"NorthHam",1,0,0,0,"Scale_2",29.4573802947998
167,"NorthHam",1,0,0,0,"Scale_3",105.11930847168
167,"NorthHam",1,0,0,0,"Scale_4",91.4174880981445
167,"NorthHam",1,0,0,0,"Scale_5",93.4076995849609
167,"NorthHam",1,0,0,0,"Scale_6",73.8172073364258
167,"NorthHam",1,0,0,0,"Scale_7",28.9476699829102
167,"NorthHam",1,0,0,0,"Scale_8",9.01531028747559
167,"NorthHam",1,0,0,0,"Scale_9",2.67580604553223
411,"NorthHam",1,16,16,0,"Scale_1",1173.19213867188
411,"NorthHam",1,16,16,0,"Scale_2",6253.7412109375
411,"NorthHam",1,16,16,0,"Scale_3",8646.6328125
411,"NorthHam",1,16,16,0,"Scale_4",6283.65380859375
411,"NorthHam",1,16,16,0,"Scale_5",3823.16650390625
411,"NorthHam",1,16,16,0,"Scale_6",1555.35424804688
411,"NorthHam",1,16,16,0,"Scale_7",528.915710449219
411,"NorthHam",1,16,16,0,"Scale_8",181.269424438477
411,"NorthHam",1,16,16,0,"Scale_9",66.7184677124023
261,"NorthHam",1,0,0,0,"Scale_1",159.608154296875
261,"NorthHam",1,0,0,0,"Scale_2",680.447875976562
261,"NorthHam",1,0,0,0,"Scale_3",2595.37158203125
261,"NorthHam",1,0,0,0,"Scale_4",1975.48999023438
261,"NorthHam",1,0,0,0,"Scale_5",1242.80102539062
261,"NorthHam",1,0,0,0,"Scale_6",455.274108886719
261,"NorthHam",1,0,0,0,"Scale_7",155.730499267578
261,"NorthHam",1,0,0,0,"Scale_8",46.7823028564453
261,"NorthHam",1,0,0,0,"Scale_9",14.0811071395874
390,"NorthHam",1,2,2,0,"Scale_1",65.6048736572266
390,"NorthHam",1,2,2,0,"Scale_2",95.0593185424805
390,"NorthHam",1,2,2,0,"Scale_3",107.506332397461
390,"NorthHam",1,2,2,0,"Scale_4",272.365173339844
390,"NorthHam",1,2,2,0,"Scale_5",312.724822998047
390,"NorthHam",1,2,2,0,"Scale_6",144.624069213867
390,"NorthHam",1,2,2,0,"Scale_7",55.4312019348145
390,"NorthHam",1,2,2,0,"Scale_8",16.2841548919678
390,"NorthHam",1,2,2,0,"Scale_9",4.62252569198608
429,"NorthHam",0,12,12,0,"Scale_1",279.52197265625
429,"NorthHam",0,12,12,0,"Scale_2",672.417419433594
429,"NorthHam",0,12,12,0,"Scale_3",1791.16076660156
429,"NorthHam",0,12,12,0,"Scale_4",1376.84729003906
429,"NorthHam",0,12,12,0,"Scale_5",996.725769042969
429,"NorthHam",0,12,12,0,"Scale_6",466.564056396484
429,"NorthHam",0,12,12,0,"Scale_7",157.666854858398
429,"NorthHam",0,12,12,0,"Scale_8",47.0707931518555
429,"NorthHam",0,12,12,0,"Scale_9",14.3601732254028
74,"NorthHam",1,2,2,0,"Scale_1",13.9491310119629
74,"NorthHam",1,2,2,0,"Scale_2",48.7037200927734
74,"NorthHam",1,2,2,0,"Scale_3",240.678588867188
74,"NorthHam",1,2,2,0,"Scale_4",393.775939941406
74,"NorthHam",1,2,2,0,"Scale_5",389.195709228516
74,"NorthHam",1,2,2,0,"Scale_6",217.820220947266
74,"NorthHam",1,2,2,0,"Scale_7",82.1067428588867
74,"NorthHam",1,2,2,0,"Scale_8",23.5096054077148
74,"NorthHam",1,2,2,0,"Scale_9",6.72120094299316
399,"NorthHam",0,24,24,0,"Scale_1",1532.31774902344
399,"NorthHam",0,24,24,0,"Scale_2",1838.98864746094
399,"NorthHam",0,24,24,0,"Scale_3",4263.80029296875
399,"NorthHam",0,24,24,0,"Scale_4",4061.98999023438
399,"NorthHam",0,24,24,0,"Scale_5",1978.62646484375
399,"NorthHam",0,24,24,0,"Scale_6",885.164916992188
399,"NorthHam",0,24,24,0,"Scale_7",308.680145263672
399,"NorthHam",0,24,24,0,"Scale_8",97.7509841918945
399,"NorthHam",0,24,24,0,"Scale_9",32.7877426147461
532,"NorthHam",0,16,16,0,"Scale_1",1553.85900878906
532,"NorthHam",0,16,16,0,"Scale_2",11944.880859375
532,"NorthHam",0,16,16,0,"Scale_3",10390.0244140625
532,"NorthHam",0,16,16,0,"Scale_4",4947.0986328125
532,"NorthHam",0,16,16,0,"Scale_5",2518.80541992188
532,"NorthHam",0,16,16,0,"Scale_6",1210.52404785156
532,"NorthHam",0,16,16,0,"Scale_7",441.796722412109
532,"NorthHam",0,16,16,0,"Scale_8",165.850982666016
532,"NorthHam",0,16,16,0,"Scale_9",68.6739120483398
200,"NorthHam",1,5,5,0,"Scale_1",500.198699951172
200,"NorthHam",1,5,5,0,"Scale_2",1045.50073242188
200,"NorthHam",1,5,5,0,"Scale_3",1711.38244628906
200,"NorthHam",1,5,5,0,"Scale_4",1166.55871582031
200,"NorthHam",1,5,5,0,"Scale_5",535.950439453125
200,"NorthHam",1,5,5,0,"Scale_6",247.016235351562
200,"NorthHam",1,5,5,0,"Scale_7",83.9076766967773
200,"NorthHam",1,5,5,0,"Scale_8",23.5179557800293
200,"NorthHam",1,5,5,0,"Scale_9",7.02545690536499
30,"NorthHam",1,0,0,0,"Scale_1",20.0450401306152
30,"NorthHam",1,0,0,0,"Scale_2",37.4437561035156
30,"NorthHam",1,0,0,0,"Scale_3",92.8907318115234
30,"NorthHam",1,0,0,0,"Scale_4",140.375076293945
30,"NorthHam",1,0,0,0,"Scale_5",115.135429382324
30,"NorthHam",1,0,0,0,"Scale_6",81.1027221679688
30,"NorthHam",1,0,0,0,"Scale_7",33.2007637023926
30,"NorthHam",1,0,0,0,"Scale_8",10.2479963302612
