"cid","site","burnt","N","juv","mat","scale","heterogen"
321,"PonyComplex2",1,29,2,27,"Scale_1",8.41831398010254
321,"PonyComplex2",1,29,2,27,"Scale_2",7.04514265060425
321,"PonyComplex2",1,29,2,27,"Scale_3",23.9228324890137
321,"PonyComplex2",1,29,2,27,"Scale_4",95.0037155151367
321,"PonyComplex2",1,29,2,27,"Scale_5",114.674011230469
321,"PonyComplex2",1,29,2,27,"Scale_6",80.7360916137695
321,"PonyComplex2",1,29,2,27,"Scale_7",31.3540916442871
321,"PonyComplex2",1,29,2,27,"Scale_8",9.16156196594238
321,"PonyComplex2",1,29,2,27,"Scale_9",2.76736426353455
167,"PonyComplex2",0,258,100,158,"Scale_1",95.5455703735352
167,"PonyComplex2",0,258,100,158,"Scale_2",416.324584960938
167,"PonyComplex2",0,258,100,158,"Scale_3",1021.15472412109
167,"PonyComplex2",0,258,100,158,"Scale_4",1961.85925292969
167,"PonyComplex2",0,258,100,158,"Scale_5",1451.48034667969
167,"PonyComplex2",0,258,100,158,"Scale_6",689.701477050781
167,"PonyComplex2",0,258,100,158,"Scale_7",246.897842407227
167,"PonyComplex2",0,258,100,158,"Scale_8",70.5452651977539
167,"PonyComplex2",0,258,100,158,"Scale_9",21.6966495513916
411,"PonyComplex2",1,70,3,67,"Scale_1",21.8893604278564
411,"PonyComplex2",1,70,3,67,"Scale_2",10.792724609375
411,"PonyComplex2",1,70,3,67,"Scale_3",30.260196685791
411,"PonyComplex2",1,70,3,67,"Scale_4",84.0532073974609
411,"PonyComplex2",1,70,3,67,"Scale_5",115.811576843262
411,"PonyComplex2",1,70,3,67,"Scale_6",61.6167640686035
411,"PonyComplex2",1,70,3,67,"Scale_7",25.846607208252
411,"PonyComplex2",1,70,3,67,"Scale_8",7.27311992645264
411,"PonyComplex2",1,70,3,67,"Scale_9",2.21990060806274
261,"PonyComplex2",1,12,4,8,"Scale_1",19.3621196746826
261,"PonyComplex2",1,12,4,8,"Scale_2",35.8788452148438
261,"PonyComplex2",1,12,4,8,"Scale_3",120.541145324707
261,"PonyComplex2",1,12,4,8,"Scale_4",70.2970504760742
261,"PonyComplex2",1,12,4,8,"Scale_5",140.61784362793
261,"PonyComplex2",1,12,4,8,"Scale_6",66.5744018554688
261,"PonyComplex2",1,12,4,8,"Scale_7",24.2750301361084
261,"PonyComplex2",1,12,4,8,"Scale_8",7.19378328323364
261,"PonyComplex2",1,12,4,8,"Scale_9",2.09859323501587
390,"PonyComplex2",1,9,0,9,"Scale_1",125.131996154785
390,"PonyComplex2",1,9,0,9,"Scale_2",48.2673797607422
390,"PonyComplex2",1,9,0,9,"Scale_3",85.4398193359375
390,"PonyComplex2",1,9,0,9,"Scale_4",129.7158203125
390,"PonyComplex2",1,9,0,9,"Scale_5",174.499877929688
390,"PonyComplex2",1,9,0,9,"Scale_6",100.656394958496
390,"PonyComplex2",1,9,0,9,"Scale_7",36.7272338867188
390,"PonyComplex2",1,9,0,9,"Scale_8",11.0713720321655
390,"PonyComplex2",1,9,0,9,"Scale_9",3.27924060821533
429,"PonyComplex2",1,27,0,27,"Scale_1",8.87966632843018
429,"PonyComplex2",1,27,0,27,"Scale_2",2.30635833740234
429,"PonyComplex2",1,27,0,27,"Scale_3",5.91326761245728
429,"PonyComplex2",1,27,0,27,"Scale_4",12.6724700927734
429,"PonyComplex2",1,27,0,27,"Scale_5",11.310206413269
429,"PonyComplex2",1,27,0,27,"Scale_6",11.4906234741211
429,"PonyComplex2",1,27,0,27,"Scale_7",5.36562347412109
429,"PonyComplex2",1,27,0,27,"Scale_8",1.67951154708862
429,"PonyComplex2",1,27,0,27,"Scale_9",0.529180467128754
74,"PonyComplex2",0,108,30,78,"Scale_1",62.9982719421387
74,"PonyComplex2",0,108,30,78,"Scale_2",211.473526000977
74,"PonyComplex2",0,108,30,78,"Scale_3",465.111297607422
74,"PonyComplex2",0,108,30,78,"Scale_4",563.459289550781
74,"PonyComplex2",0,108,30,78,"Scale_5",452.048095703125
74,"PonyComplex2",0,108,30,78,"Scale_6",295.789428710938
74,"PonyComplex2",0,108,30,78,"Scale_7",100.768486022949
74,"PonyComplex2",0,108,30,78,"Scale_8",29.9468898773193
74,"PonyComplex2",0,108,30,78,"Scale_9",8.91163730621338
532,"PonyComplex2",1,414,23,391,"Scale_1",42.194263458252
532,"PonyComplex2",1,414,23,391,"Scale_2",38.142276763916
532,"PonyComplex2",1,414,23,391,"Scale_3",130.935028076172
532,"PonyComplex2",1,414,23,391,"Scale_4",285.340759277344
532,"PonyComplex2",1,414,23,391,"Scale_5",258.559753417969
532,"PonyComplex2",1,414,23,391,"Scale_6",127.654373168945
532,"PonyComplex2",1,414,23,391,"Scale_7",50.9259567260742
532,"PonyComplex2",1,414,23,391,"Scale_8",15.2416954040527
532,"PonyComplex2",1,414,23,391,"Scale_9",4.35747194290161
200,"PonyComplex2",1,52,20,32,"Scale_1",30.3515453338623
200,"PonyComplex2",1,52,20,32,"Scale_2",31.672945022583
200,"PonyComplex2",1,52,20,32,"Scale_3",44.5569496154785
200,"PonyComplex2",1,52,20,32,"Scale_4",99.097053527832
200,"PonyComplex2",1,52,20,32,"Scale_5",128.56787109375
200,"PonyComplex2",1,52,20,32,"Scale_6",84.3791427612305
200,"PonyComplex2",1,52,20,32,"Scale_7",30.9578800201416
200,"PonyComplex2",1,52,20,32,"Scale_8",9.07805442810059
200,"PonyComplex2",1,52,20,32,"Scale_9",2.75164675712585
534,"PonyComplex2",1,59,28,31,"Scale_1",8.98342609405518
534,"PonyComplex2",1,59,28,31,"Scale_2",11.8312368392944
534,"PonyComplex2",1,59,28,31,"Scale_3",55.4585266113281
534,"PonyComplex2",1,59,28,31,"Scale_4",81.6960296630859
534,"PonyComplex2",1,59,28,31,"Scale_5",75.5073471069336
534,"PonyComplex2",1,59,28,31,"Scale_6",55.403694152832
534,"PonyComplex2",1,59,28,31,"Scale_7",21.7893543243408
534,"PonyComplex2",1,59,28,31,"Scale_8",6.48344612121582
534,"PonyComplex2",1,59,28,31,"Scale_9",1.89613735675812
498,"PonyComplex2",1,149,6,143,"Scale_1",3.95627999305725
498,"PonyComplex2",1,149,6,143,"Scale_2",14.9678192138672
498,"PonyComplex2",1,149,6,143,"Scale_3",36.5772666931152
498,"PonyComplex2",1,149,6,143,"Scale_4",116.506996154785
498,"PonyComplex2",1,149,6,143,"Scale_5",213.042510986328
498,"PonyComplex2",1,149,6,143,"Scale_6",143.179901123047
498,"PonyComplex2",1,149,6,143,"Scale_7",51.973445892334
498,"PonyComplex2",1,149,6,143,"Scale_8",15.0978355407715
498,"PonyComplex2",1,149,6,143,"Scale_9",4.40983200073242
30,"PonyComplex2",1,41,5,36,"Scale_1",211.637893676758
30,"PonyComplex2",1,41,5,36,"Scale_2",28.7567481994629
30,"PonyComplex2",1,41,5,36,"Scale_3",140.999954223633
30,"PonyComplex2",1,41,5,36,"Scale_4",133.367431640625
30,"PonyComplex2",1,41,5,36,"Scale_5",149.18717956543
30,"PonyComplex2",1,41,5,36,"Scale_6",107.576065063477
30,"PonyComplex2",1,41,5,36,"Scale_7",35.4461441040039
30,"PonyComplex2",1,41,5,36,"Scale_8",10.306134223938
30,"PonyComplex2",1,41,5,36,"Scale_9",3.12051963806152
578,"PonyComplex2",1,356,55,301,"Scale_1",65.9949569702148
578,"PonyComplex2",1,356,55,301,"Scale_2",111.283264160156
578,"PonyComplex2",1,356,55,301,"Scale_3",36.9853439331055
578,"PonyComplex2",1,356,55,301,"Scale_4",93.9171142578125
578,"PonyComplex2",1,356,55,301,"Scale_5",171.327606201172
578,"PonyComplex2",1,356,55,301,"Scale_6",107.682411193848
578,"PonyComplex2",1,356,55,301,"Scale_7",40.0515403747559
578,"PonyComplex2",1,356,55,301,"Scale_8",11.9407978057861
578,"PonyComplex2",1,356,55,301,"Scale_9",3.44322299957275
539,"PonyComplex2",1,6,0,6,"Scale_1",0.750856697559357
539,"PonyComplex2",1,6,0,6,"Scale_2",6.36510181427002
539,"PonyComplex2",1,6,0,6,"Scale_3",23.9674015045166
539,"PonyComplex2",1,6,0,6,"Scale_4",31.827917098999
539,"PonyComplex2",1,6,0,6,"Scale_5",50.94873046875
539,"PonyComplex2",1,6,0,6,"Scale_6",46.3049621582031
539,"PonyComplex2",1,6,0,6,"Scale_7",18.8508930206299
539,"PonyComplex2",1,6,0,6,"Scale_8",5.65695190429688
539,"PonyComplex2",1,6,0,6,"Scale_9",1.67506921291351
164,"PonyComplex2",0,250,107,143,"Scale_1",148.327911376953
164,"PonyComplex2",0,250,107,143,"Scale_2",53.5966491699219
164,"PonyComplex2",0,250,107,143,"Scale_3",83.3450622558594
164,"PonyComplex2",0,250,107,143,"Scale_4",178.342208862305
164,"PonyComplex2",0,250,107,143,"Scale_5",256.936553955078
164,"PonyComplex2",0,250,107,143,"Scale_6",156.656066894531
164,"PonyComplex2",0,250,107,143,"Scale_7",57.2031402587891
164,"PonyComplex2",0,250,107,143,"Scale_8",16.6854133605957
164,"PonyComplex2",0,250,107,143,"Scale_9",4.80780935287476
396,"PonyComplex2",1,11,2,9,"Scale_1",19.1325492858887
396,"PonyComplex2",1,11,2,9,"Scale_2",22.317850112915
396,"PonyComplex2",1,11,2,9,"Scale_3",57.0289649963379
396,"PonyComplex2",1,11,2,9,"Scale_4",49.5806694030762
396,"PonyComplex2",1,11,2,9,"Scale_5",104.118309020996
396,"PonyComplex2",1,11,2,9,"Scale_6",71.8585586547852
396,"PonyComplex2",1,11,2,9,"Scale_7",25.7073650360107
396,"PonyComplex2",1,11,2,9,"Scale_8",8.03535175323486
396,"PonyComplex2",1,11,2,9,"Scale_9",2.43801808357239
84,"PonyComplex2",0,321,28,293,"Scale_1",1366.51843261719
84,"PonyComplex2",0,321,28,293,"Scale_2",498.857818603516
84,"PonyComplex2",0,321,28,293,"Scale_3",1380.27880859375
84,"PonyComplex2",0,321,28,293,"Scale_4",2030.84545898438
