"cid","site","burnt","N","juv","mat","scale","heterogen"
321,"SodaNaturalArea2",0,22,16,6,"Scale_1",89.8274536132812
321,"SodaNaturalArea2",0,22,16,6,"Scale_2",109.265739440918
321,"SodaNaturalArea2",0,22,16,6,"Scale_3",519.108764648438
321,"SodaNaturalArea2",0,22,16,6,"Scale_4",608.379699707031
321,"SodaNaturalArea2",0,22,16,6,"Scale_5",499.956939697266
321,"SodaNaturalArea2",0,22,16,6,"Scale_6",276.360137939453
321,"SodaNaturalArea2",0,22,16,6,"Scale_7",87.0133972167969
321,"SodaNaturalArea2",0,22,16,6,"Scale_8",29.4351367950439
321,"SodaNaturalArea2",0,22,16,6,"Scale_9",8.93969440460205
167,"SodaNaturalArea2",1,0,0,0,"Scale_1",58.4823722839355
167,"SodaNaturalArea2",1,0,0,0,"Scale_2",52.2305335998535
167,"SodaNaturalArea2",1,0,0,0,"Scale_3",61.9681739807129
167,"SodaNaturalArea2",1,0,0,0,"Scale_4",64.1787490844727
167,"SodaNaturalArea2",1,0,0,0,"Scale_5",69.2344360351562
167,"SodaNaturalArea2",1,0,0,0,"Scale_6",51.4600715637207
167,"SodaNaturalArea2",1,0,0,0,"Scale_7",20.7054252624512
167,"SodaNaturalArea2",1,0,0,0,"Scale_8",6.53459644317627
167,"SodaNaturalArea2",1,0,0,0,"Scale_9",2.09229636192322
411,"SodaNaturalArea2",0,34,13,21,"Scale_1",115.522018432617
411,"SodaNaturalArea2",0,34,13,21,"Scale_2",187.724029541016
411,"SodaNaturalArea2",0,34,13,21,"Scale_3",425.438201904297
411,"SodaNaturalArea2",0,34,13,21,"Scale_4",1022.88372802734
411,"SodaNaturalArea2",0,34,13,21,"Scale_5",659.824951171875
411,"SodaNaturalArea2",0,34,13,21,"Scale_6",382.369445800781
411,"SodaNaturalArea2",0,34,13,21,"Scale_7",144.1845703125
411,"SodaNaturalArea2",0,34,13,21,"Scale_8",46.3647766113281
411,"SodaNaturalArea2",0,34,13,21,"Scale_9",13.6542587280273
261,"SodaNaturalArea2",1,3,3,0,"Scale_1",15.1945323944092
261,"SodaNaturalArea2",1,3,3,0,"Scale_2",9.13803482055664
261,"SodaNaturalArea2",1,3,3,0,"Scale_3",15.9647436141968
261,"SodaNaturalArea2",1,3,3,0,"Scale_4",83.6132583618164
261,"SodaNaturalArea2",1,3,3,0,"Scale_5",132.955154418945
261,"SodaNaturalArea2",1,3,3,0,"Scale_6",74.8657836914062
261,"SodaNaturalArea2",1,3,3,0,"Scale_7",28.9107284545898
261,"SodaNaturalArea2",1,3,3,0,"Scale_8",9.2004337310791
261,"SodaNaturalArea2",1,3,3,0,"Scale_9",2.77784395217896
390,"SodaNaturalArea2",1,2,2,0,"Scale_1",16.2340316772461
390,"SodaNaturalArea2",1,2,2,0,"Scale_2",39.3766670227051
390,"SodaNaturalArea2",1,2,2,0,"Scale_3",69.7741394042969
390,"SodaNaturalArea2",1,2,2,0,"Scale_4",79.8200836181641
390,"SodaNaturalArea2",1,2,2,0,"Scale_5",148.682220458984
390,"SodaNaturalArea2",1,2,2,0,"Scale_6",64.3176345825195
390,"SodaNaturalArea2",1,2,2,0,"Scale_7",26.1347408294678
390,"SodaNaturalArea2",1,2,2,0,"Scale_8",7.996009349823
390,"SodaNaturalArea2",1,2,2,0,"Scale_9",2.40856862068176
429,"SodaNaturalArea2",0,70,13,57,"Scale_1",18.548282623291
429,"SodaNaturalArea2",0,70,13,57,"Scale_2",74.8809967041016
429,"SodaNaturalArea2",0,70,13,57,"Scale_3",218.570251464844
429,"SodaNaturalArea2",0,70,13,57,"Scale_4",324.506805419922
429,"SodaNaturalArea2",0,70,13,57,"Scale_5",276.082763671875
429,"SodaNaturalArea2",0,70,13,57,"Scale_6",141.699325561523
429,"SodaNaturalArea2",0,70,13,57,"Scale_7",61.0530891418457
429,"SodaNaturalArea2",0,70,13,57,"Scale_8",18.1196918487549
429,"SodaNaturalArea2",0,70,13,57,"Scale_9",5.34307336807251
74,"SodaNaturalArea2",1,2,2,0,"Scale_1",26.6603450775146
74,"SodaNaturalArea2",1,2,2,0,"Scale_2",53.2336845397949
74,"SodaNaturalArea2",1,2,2,0,"Scale_3",60.5954971313477
74,"SodaNaturalArea2",1,2,2,0,"Scale_4",87.7150421142578
74,"SodaNaturalArea2",1,2,2,0,"Scale_5",87.1195983886719
74,"SodaNaturalArea2",1,2,2,0,"Scale_6",76.4531402587891
74,"SodaNaturalArea2",1,2,2,0,"Scale_7",32.4666404724121
74,"SodaNaturalArea2",1,2,2,0,"Scale_8",10.3030281066895
74,"SodaNaturalArea2",1,2,2,0,"Scale_9",3.18794941902161
399,"SodaNaturalArea2",0,39,14,25,"Scale_1",64.817253112793
399,"SodaNaturalArea2",0,39,14,25,"Scale_2",167.635498046875
399,"SodaNaturalArea2",0,39,14,25,"Scale_3",386.463958740234
399,"SodaNaturalArea2",0,39,14,25,"Scale_4",377.607971191406
399,"SodaNaturalArea2",0,39,14,25,"Scale_5",330.742614746094
399,"SodaNaturalArea2",0,39,14,25,"Scale_6",158.01416015625
