"cid","site","burnt","N","juv","mat","scale","heterogen"
503,"SouthTrail",1,13,12,1,"Scale_1",161.095031738281
503,"SouthTrail",1,13,12,1,"Scale_2",1220.94079589844
503,"SouthTrail",1,13,12,1,"Scale_3",1429.27758789062
503,"SouthTrail",1,13,12,1,"Scale_4",2869.6552734375
503,"SouthTrail",1,13,12,1,"Scale_5",1580.97534179688
503,"SouthTrail",1,13,12,1,"Scale_6",651.903015136719
503,"SouthTrail",1,13,12,1,"Scale_7",227.248138427734
503,"SouthTrail",1,13,12,1,"Scale_8",73.6697235107422
503,"SouthTrail",1,13,12,1,"Scale_9",24.5439071655273
455,"SouthTrail",1,40,39,1,"Scale_1",233.395660400391
455,"SouthTrail",1,40,39,1,"Scale_2",866.724365234375
455,"SouthTrail",1,40,39,1,"Scale_3",1527.27587890625
455,"SouthTrail",1,40,39,1,"Scale_4",3525.90844726562
455,"SouthTrail",1,40,39,1,"Scale_5",2333.23706054688
455,"SouthTrail",1,40,39,1,"Scale_6",1273.89282226562
455,"SouthTrail",1,40,39,1,"Scale_7",498.119995117188
455,"SouthTrail",1,40,39,1,"Scale_8",175.809951782227
455,"SouthTrail",1,40,39,1,"Scale_9",71.2846450805664
561,"SouthTrail",1,24,18,6,"Scale_1",39.4208221435547
561,"SouthTrail",1,24,18,6,"Scale_2",317.777099609375
561,"SouthTrail",1,24,18,6,"Scale_3",717.051879882812
561,"SouthTrail",1,24,18,6,"Scale_4",1514.84265136719
561,"SouthTrail",1,24,18,6,"Scale_5",742.578002929688
561,"SouthTrail",1,24,18,6,"Scale_6",394.056274414062
561,"SouthTrail",1,24,18,6,"Scale_7",141.38215637207
561,"SouthTrail",1,24,18,6,"Scale_8",40.9700012207031
561,"SouthTrail",1,24,18,6,"Scale_9",12.4226818084717
158,"SouthTrail",1,26,26,0,"Scale_1",163.382888793945
158,"SouthTrail",1,26,26,0,"Scale_2",1700.791015625
158,"SouthTrail",1,26,26,0,"Scale_3",3707.82836914062
158,"SouthTrail",1,26,26,0,"Scale_4",5230.7236328125
158,"SouthTrail",1,26,26,0,"Scale_5",2739.34204101562
158,"SouthTrail",1,26,26,0,"Scale_6",1244.14892578125
158,"SouthTrail",1,26,26,0,"Scale_7",451.911834716797
158,"SouthTrail",1,26,26,0,"Scale_8",152.907836914062
158,"SouthTrail",1,26,26,0,"Scale_9",59.2256050109863
54,"SouthTrail",1,38,27,11,"Scale_1",1243.0615234375
54,"SouthTrail",1,38,27,11,"Scale_2",3450.49560546875
54,"SouthTrail",1,38,27,11,"Scale_3",2405.69409179688
54,"SouthTrail",1,38,27,11,"Scale_4",4970.0537109375
54,"SouthTrail",1,38,27,11,"Scale_5",2759.77905273438
