"site","scale","res","chm.res"
"Cold",1,9.93667024941757,0.0194075590809008
"Cold",2,4.96833512470878,0.0194075590809008
"Cold",3,2.48416756235439,0.0194075590809008
"Cold",4,1.2420837811772,0.0194075590809008
"Cold",5,0.621041890588598,0.0194075590809008
"Cold",6,0.310520945294299,0.0194075590809008
"Cold",7,0.155260472647149,0.0194075590809008
"Cold",8,0.0776302363235747,0.0194075590809008
"Cold",9,0.0388151181617874,0.0194075590809008
"CorralsTrail",1,8.88770132932058,0.0173587916588334
"CorralsTrail",2,4.44385066466029,0.0173587916588334
"CorralsTrail",3,2.22192533233015,0.0173587916588334
"CorralsTrail",4,1.11096266616507,0.0173587916588334
"CorralsTrail",5,0.555481333082536,0.0173587916588334
"CorralsTrail",6,0.277740666541268,0.0173587916588334
"CorralsTrail",7,0.138870333270634,0.0173587916588334
"CorralsTrail",8,0.069435166635317,0.0173587916588334
"CorralsTrail",9,0.0347175833176585,0.0173587916588334
"DuncanSaddle",1,5.11999999999887,0.00999999999999931
"DuncanSaddle",2,2.55999999999944,0.00999999999999931
"DuncanSaddle",3,1.27999999999972,0.00999999999999931
"DuncanSaddle",4,0.639999999999859,0.00999999999999931
"DuncanSaddle",5,0.319999999999929,0.00999999999999931
"DuncanSaddle",6,0.159999999999965,0.00999999999999931
"DuncanSaddle",7,0.0799999999999824,0.00999999999999931
"DuncanSaddle",8,0.0399999999999912,0.00999999999999931
"DuncanSaddle",9,0.0199999999999956,0.00999999999999931
"InitialPointBurn",1,9.34818328349331,0.0182581704755706
"InitialPointBurn",2,4.67409164174665,0.0182581704755706
"InitialPointBurn",3,2.33704582087333,0.0182581704755706
"InitialPointBurn",4,1.16852291043666,0.0182581704755706
"InitialPointBurn",5,0.584261455218332,0.0182581704755706
"InitialPointBurn",6,0.292130727609166,0.0182581704755706
"InitialPointBurn",7,0.146065363804583,0.0182581704755706
"InitialPointBurn",8,0.0730326819022915,0.0182581704755706
"InitialPointBurn",9,0.0365163409511457,0.0182581704755706
"LowerDryCreek",1,7.97387291416121,0.0155739705354702
"LowerDryCreek",2,3.9869364570806,0.0155739705354702
"LowerDryCreek",3,1.9934682285403,0.0155739705354702
"LowerDryCreek",4,0.996734114270151,0.0155739705354702
"LowerDryCreek",5,0.498367057135076,0.0155739705354702
"LowerDryCreek",6,0.249183528567538,0.0155739705354702
"LowerDryCreek",7,0.124591764283769,0.0155739705354702
"LowerDryCreek",8,0.0622958821418844,0.0155739705354702
"LowerDryCreek",9,0.0311479410709422,0.0155739705354702
"NorthHam",1,9.71880874265917,0.0189820483255081
"NorthHam",2,4.85940437132958,0.0189820483255081
"NorthHam",3,2.42970218566479,0.0189820483255081
"NorthHam",4,1.2148510928324,0.0189820483255081
"NorthHam",5,0.607425546416198,0.0189820483255081
"NorthHam",6,0.303712773208099,0.0189820483255081
"NorthHam",7,0.151856386604049,0.0189820483255081
"NorthHam",8,0.0759281933020247,0.0189820483255081
"NorthHam",9,0.0379640966510124,0.0189820483255081
"PonyComplex1",1,9.55847226011877,0.0186688911330379
"PonyComplex1",2,4.77923613005939,0.0186688911330379
